,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
北海道,0.88,0.93,0.83,0.68,0.87,1.04,1.27,1.34,1.16,1.06,0.85,1.04
青森県,0.69,0.75,0.79,1,1.02,1.03,1.09,1.34,1.13,1.28,1,0.83
岩手県,0.84,0.82,0.88,0.89,0.97,1,1,1.32,1.05,1.21,1.05,0.9
宮城県,0.84,0.89,1.01,0.88,0.97,0.99,1.02,1.28,0.99,1.07,1.06,0.93
秋田県,0.68,0.72,0.75,0.86,1.06,1.08,1.05,1.45,1.16,1.28,1.04,0.81
山形県,0.87,0.97,0.94,0.81,0.95,1.06,1.02,1.29,1.05,1.16,0.99,0.83
福島県,0.84,0.94,0.87,0.89,0.93,0.94,1.05,1.29,1.02,1.17,1.04,0.94
茨城県,0.83,0.84,0.99,1.03,1.01,0.93,1.1,1.25,0.94,1.02,1.01,0.99
栃木県,0.72,0.77,0.91,0.92,1.04,0.91,1.07,1.38,1.05,1,1.2,0.95
群馬県,0.92,0.89,0.97,0.83,0.94,0.81,1.04,1.41,1.01,1.09,1.05,0.98
埼玉県,0.89,0.9,1.09,1.02,0.96,0.93,1,1.08,0.97,1.04,1.03,1.04
千葉県,0.88,0.88,1.04,0.95,0.95,0.94,1.05,1.23,0.94,1.02,1.02,1.04
東京都,0.86,0.92,1.05,1.02,1,0.98,0.99,1,0.95,1.05,1.05,1.07
神奈川県,0.95,0.84,1.17,0.95,1.08,1,0.94,1.06,0.92,0.98,1.02,1.03
新潟県,0.96,1.03,1.04,0.95,0.86,0.81,1.05,1.42,1,1.06,0.92,0.84
富山県,0.68,0.79,0.97,1.24,1.03,0.8,0.92,1.27,1.08,1.25,1.05,0.85
石川県,0.85,0.9,1.12,1.08,1,0.84,0.91,1.19,0.9,1.1,1.17,0.88
福井県,0.62,0.73,0.98,0.99,0.99,0.85,1.1,1.5,0.96,1.11,1.17,0.96
山梨県,0.61,0.6,0.92,0.92,1.01,0.83,1.32,1.78,1.03,1.04,1.02,0.87
長野県,1.01,1.06,0.88,0.77,0.94,0.76,1.04,1.56,1.06,1.07,0.92,0.87
岐阜県,0.8,0.82,0.96,0.97,1.01,0.8,1.11,1.38,1.04,1.18,0.89,0.97
静岡県,0.88,0.95,1.11,0.91,0.94,0.79,1.09,1.35,0.93,0.96,1.03,1.02
愛知県,0.84,0.88,1.02,1,0.95,0.91,1.05,1.21,0.97,1.01,1.04,1.06
三重県,0.84,0.9,1.02,0.98,1.02,0.83,1.03,1.26,0.94,0.97,1.05,1.1
滋賀県,0.73,0.76,1.04,1.03,1.07,0.88,0.99,1.36,0.94,1.04,1.13,0.97
京都府,0.72,0.76,1.05,1.12,1.12,0.97,0.95,0.99,0.95,1.14,1.13,1.04
大阪府,0.86,0.86,0.97,0.99,1.01,0.97,1.05,1.05,0.95,1.11,1.07,1.05
兵庫県,0.8,0.83,1.13,0.93,0.94,0.86,1.01,1.24,0.98,1.04,1.12,1.06
奈良県,0.67,0.7,1,1.02,1.23,0.88,0.95,1.14,0.94,1.2,1.25,0.95
和歌山県,0.74,0.81,1.11,0.93,1.05,0.83,1.11,1.25,0.92,1.09,1.16,0.94
鳥取県,0.67,0.74,0.97,0.93,1.07,0.84,0.99,1.35,1.02,1.16,1.21,0.98
島根県,0.71,0.8,1.05,1.03,1.13,0.94,1.03,1.21,0.97,1.11,1.13,0.83
岡山県,0.77,0.82,1.12,1.03,0.95,0.74,0.98,1.19,1.04,1.15,1.15,1
広島県,0.73,0.79,1.07,0.99,1.1,0.91,0.94,1.15,1.04,1.16,1.14,0.92
山口県,0.77,0.83,1.05,0.89,1.03,0.86,0.96,1.22,1.02,1.18,1.16,0.97
徳島県,0.73,0.75,1.04,0.98,1.11,0.79,0.91,1.3,0.98,1.11,1.2,1.03
香川県,0.73,0.82,1.09,1.02,0.99,0.84,1,1.31,0.99,1.07,1.14,0.93
愛媛県,0.77,0.82,1.11,1.01,1.02,0.84,0.98,1.19,0.96,1.12,1.22,0.9
高知県,0.71,0.8,1.09,0.95,1.1,0.8,1.12,1.41,0.99,1,1.11,0.86
福岡県,0.88,0.9,1.01,0.94,0.98,0.94,1.01,1.12,0.96,1.06,1.09,1.03
佐賀県,0.97,0.92,1.08,1.06,1.04,0.83,0.8,1.14,0.9,1.06,1.1,1.04
長崎県,0.77,0.88,1.05,0.97,1.09,0.81,1.01,1.26,0.9,1.12,1.1,0.99
熊本県,0.83,0.89,1.08,0.95,1.01,0.81,0.94,1.19,0.97,1.12,1.14,1.01
大分県,0.94,0.97,1.13,0.96,0.95,0.89,0.99,1.12,0.89,0.99,1.11,1.01
宮崎県,0.81,1.1,1.17,0.91,1.17,0.77,0.91,1,0.94,1.05,1.08,1.03
鹿児島県,0.8,0.93,1.04,0.92,1.02,0.82,1.03,1.2,1.01,1.1,1.12,0.97
沖縄県,0.8,0.88,0.96,0.92,0.89,0.94,1.18,1.26,1.07,1.11,1.01,0.92